2.289735, PlayerAction, MISS,HeadBanging,Score=-1
3.534179, PlayerAction, MISS,HeadBanging,Score=-1
4.479947, PlayerAction, MISS,HeadBanging,Score=-1
5.32619, PlayerAction, MISS,HeadBanging,Score=-1
6.670211, PlayerAction, MISS,HeadBanging,Score=-1
7.615978, PlayerAction, MISS,HeadBanging,Score=-1
9.109311, PlayerAction, MISS,HeadBanging,Score=-1
10.10487, PlayerAction, MISS,HeadBanging,Score=-1
11.9964, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
13.14132, PlayerAction, MISS,HeadBanging,Score=-1
15.97862, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
17.96973, PlayerAction, MISS,HeadBanging,Score=-1
18.86576, PlayerAction, MISS,HeadBanging,Score=-1
20,IdealAction,,HeadBanging
20.01063, PlayerAction,HIT ABOVE BEST,HeadBanging,Score=4
21.45418, PlayerAction, MISS,HeadBanging,Score=-1
22.94751, PlayerAction, MISS,HeadBanging,Score=-1
23.94307, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
24.88883, PlayerAction, MISS,HeadBanging,Score=-1
25.4364, PlayerAction, MISS,HeadBanging,Score=-1
25.98396, PlayerAction, MISS,HeadBanging,Score=-1
26.83021, PlayerAction, MISS,HeadBanging,Score=-1
27.2782, PlayerAction, MISS,HeadBanging,Score=-1
27.82576, PlayerAction,HIT BELOW GOOD,HeadBanging,Score=2
28.42307, PlayerAction, MISS,HeadBanging,Score=-1
29.16973, PlayerAction, MISS,HeadBanging,Score=-1
29.61772, PlayerAction, MISS,HeadBanging,Score=-1
30.16529, PlayerAction, MISS,HeadBanging,Score=-1
30.66306, PlayerAction, MISS,HeadBanging,Score=-1
31.06132, PlayerAction, MISS,HeadBanging,Score=-1
31.50931, PlayerAction, MISS,HeadBanging,Score=-1
32,IdealAction,,HeadBanging
32.00708, PlayerAction,HIT ABOVE BEST,HeadBanging,Score=4
32.40528, PlayerAction, MISS,HeadBanging,Score=-1
33.05243, PlayerAction, MISS,HeadBanging,Score=-1
33.45063, PlayerAction, MISS,HeadBanging,Score=-1
33.94841, PlayerAction, MISS,HeadBanging,Score=-1
34.5955, PlayerAction, MISS,HeadBanging,Score=-1
34.99375, PlayerAction, MISS,HeadBanging,Score=-1
35.49153, PlayerAction, MISS,HeadBanging,Score=-1
35.98931, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
36.4373, PlayerAction, MISS,HeadBanging,Score=-1
37.03465, PlayerAction, MISS,HeadBanging,Score=-1
37.58216, PlayerAction, MISS,HeadBanging,Score=-1
38.07994, PlayerAction, MISS,HeadBanging,Score=-1
39.37418, PlayerAction, MISS,HeadBanging,Score=-1
40.17063, PlayerAction,HIT ABOVE GOOD,HeadBanging,Score=2
40.91729, PlayerAction, MISS,HeadBanging,Score=-1
41.41507, PlayerAction, MISS,HeadBanging,Score=-1
41.86306, PlayerAction, MISS,HeadBanging,Score=-1
42.90841, PlayerAction, MISS,HeadBanging,Score=-1
43.75465, PlayerAction, MISS,HeadBanging,Score=-1
44.20264, PlayerAction,HIT ABOVE GOOD,HeadBanging,Score=2
45.09862, PlayerAction, MISS,HeadBanging,Score=-1
45.54661, PlayerAction, MISS,HeadBanging,Score=-1
45.99465, PlayerAction, MISS,HeadBanging,Score=-1
46.49243, PlayerAction, MISS,HeadBanging,Score=-1
47.08973, PlayerAction, MISS,HeadBanging,Score=-1
47.48798, PlayerAction, MISS,HeadBanging,Score=-1
47.98576, PlayerAction,HIT BELOW BEST,HeadBanging,Score=4
48.38396, PlayerAction, MISS,HeadBanging,Score=-1
49.67819, PlayerAction, MISS,HeadBanging,Score=-1
50.42486, PlayerAction, MISS,HeadBanging,Score=-1
50.92264, PlayerAction, MISS,HeadBanging,Score=-1
51.37062, PlayerAction, MISS,HeadBanging,Score=-1
51.81861, PlayerAction,HIT BELOW GOOD,HeadBanging,Score=2
52.21687, PlayerAction, MISS,HeadBanging,Score=-1
